機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目,特約縣市,特約區域,機構電話,電子郵件,機構負責人姓名,特約起日,特約迄日,最後異動時間
高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),B21500180,B2,64000,64000110.0,高雄市小港區山明里山明路四八二號B1-10樓,,,C,巷弄長照站,64000,64000110,07 8036783,-,郭昭宏,20200301.0,20251231.0,20241225 16:42:52
龍潭敏盛醫院,B20400113,B2,68000,68000090.0,桃園市龍潭區中豐路168號,,,B,居家失能個案家庭醫師照護服務,68000,68000090,03-4794151,-,梁植池,20240101.0,20251231.0,20240510 12:04:18
臺北市信義區挹翠社區發展協會,BF0100112,BF,63000,63000020.0,臺北市信義區六合里紫雲街23號1樓,,,C,巷弄長照站,63000,63000020,02-27228636,ghda970525@gmail.com,甘添貴,20210101.0,20211231.0,20210412 14:27:02
光廷物理治療所,B20800232,B2,66000,66000040.0,臺中市西區五權五街133巷30號,,,B,專業照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-23724405,kt2019.ptclinic@gmail.com,施光庭,20220101.0,20241231.0,20211217 18:23:57
財團法人台北市中山基督長老教會,BF0100143,BF,63000,63000040.0,臺北市中山區正得里林森北路62號,,,C,巷弄長照站,63000,63000040,0225518480#119,lichin681027@gmail.com,郭崇仁,20200101.0,20211231.0,20210408 16:16:13
黃志豪職能治療所(福林里),B20500029,B2,10018,10018020.0,新竹市北區福林里東大路二段177號,,,C,巷弄長照站,10018,10018020,0988-200-653,kirstysong@yahoo.com.tw,黃志豪,20230101.0,20231231.0,20230310 16:53:34
新盛物理治療所,B40800033,B4,66000,66000020.0,臺中市東區復興路四段17巷6號1樓,,,B,專業照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0911-424278,pt.hanwenchang@gmial.com,張翰文,20250101.0,20271231.0,20250109 17:59:24
臺南市玉井區衛生所,B21400074,B2,67000,67000230.0,臺南市玉井區玉田里中正路5號,,,B,專業照護服務,67000,67000230,06-574-2275,linghunyin@gmail.com,林俊吟,20230310.0,20270228.0,20240325 10:52:28
臺南市玉井區衛生所,B21400074,B2,67000,67000230.0,臺南市玉井區玉田里中正路5號,,,B,居家失能個案家庭醫師照護服務,67000,67000230;67000240,06-574-2275,linghunyin@gmail.com,林俊吟,20220101.0,20270228.0,20240308 14:41:35
振興醫療財團法人振興醫院,B20100071,B2,63000,63000120.0,臺北市北投區振興街４５號,,,B,專業照護服務,63000,63000120,0228264400,-,魏崢,20210101.0,20241231.0,20230202 17:18:18
振興醫療財團法人振興醫院,B20100071,B2,63000,63000120.0,臺北市北投區振興街４５號,,,B,專業照護服務,63000,63000110;63000120,0228264400,-,魏崢,20250101.0,20261231.0,20241025 10:47:12
黃志豪職能治療所(建華里),B20500026,B2,10018,10018010.0,新竹市東區建華里建華街51號,,,C,巷弄長照站,10018,10018010,0988-200-653,kirstysong@yahoo.com.tw,黃志豪,20230101.0,20231231.0,20230310 17:03:28
新竹市東區金山社區發展協會,BE0500009,BE,10018,10018010.0,新竹市東區金山里光復路一段163巷53弄1-4號,,,C,巷弄長照站,10018,10018010,0932-043-050,mlml690128@kimo.com,李紹唐,20230101.0,20231231.0,20230310 16:59:24
天主教仁慈醫療財團法人仁慈醫院,B20600047,B2,10004,10004050.0,新竹縣湖口鄉忠孝路２９號,,,B,交通接送服務,10004,10004010;10004030;10004050;10004060,03 5993500,-,張達人,20220201.0,20241231.0,20240119 14:29:57
旭生中醫診所,B20100092,B2,63000,63000070.0,臺北市萬華區萬大路526號,,,B,專業照護服務,63000,63000070,2314-3456#9,amanda.lee0933@gmail.com,陳贊文,20190917.0,20201231.0,20200311 18:14:35
黃志豪職能治療所(明湖里),B20500028,B2,10018,10018010.0,新竹市東區明湖里明湖路1050巷180號,,,C,巷弄長照站,10018,10018010,0988-200-653,kirstysong@yahoo.com.tw,黃志豪,20230101.0,20231231.0,20230310 16:54:25
三軍總醫院北投分院附設民眾診療服務處,B20100069,B2,63000,63000120.0,臺北市北投區新民路６０號 中和街二五○號,,,B,專業照護服務,63000,63000010;63000020;63000030;63000040;63000050;63000060;63000070;63000080;63000090;63000100;63000110;63000120,0228959808,-,楊立光,20200513.0,20201231.0,20200513 22:43:42
元盛診所,B20800227,B2,66000,66000030.0,臺中市南區復興路一段295號,,,B,居家失能個案家庭醫師照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-22636165,YS22636165@gmail.com,林禎淇,20240701.0,20261231.0,20240513 09:37:09
光廷物理治療所,B20800232,B2,66000,66000040.0,臺中市西區五權五街133巷30號,,,B,專業照護服務(CC01),66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-23724405,kt2019.ptclinic@gmail.com,施光庭,20250101.0,20271231.0,20241206 21:58:04
光廷物理治療所,B20800232,B2,66000,66000040.0,臺中市西區五權五街133巷30號,,,B,專業照護服務(CC01),66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-23724405,kt2019.ptclinic@gmail.com,施光庭,20220101.0,20241231.0,20230802 17:19:14
新北市私立定緯居家長照機構,1X0200046,1,65000,65000010.0,新北市板橋區堂春里篤行路二段9號,,,B,喘息服務,65000,65000010;65000050;65000070,2990-7768,Belle660706@gmail.com,鄭芷緁,20250101.0,20271231.0,20241217 14:08:54
新北市私立定緯居家長照機構,1X0200046,1,65000,65000010.0,新北市板橋區堂春里篤行路二段9號,,,B,居家服務,65000,65000010;65000050;65000070,2990-7768,Belle660706@gmail.com,鄭芷緁,20250101.0,20271231.0,20241217 14:08:08
臺東縣太麻里鄉龍溪溫韾婦女會吉林(社照C),BF1900094,BF,10014,10014090.0,臺東縣太麻里鄉多良村上大溪13鄰75號,,,C,巷弄長照站,10014,10014090,089-761080,phbk056@ttshb.taitung.gov.tw,待補,20200101.0,20201231.0,20200429 15:57:47
祐成租賃有限公司,BA0700005,BA,10005,10005060.0,苗栗縣後龍鎮海寶里下灣寶庄118之6號,,,B,交通接送服務(DA01),10005,10005010;10005020;10005030;10005040;10005050;10005060;10005070;10005080;10005090;10005100;10005110;10005120;10005130;10005140;10005150;10005160;10005170;10005180,037-431504,yc@car5888.com.tw,陳獻仲,20230101.0,20261231.0,20241213 14:55:47
祐成租賃有限公司,BA0700005,BA,10005,10005060.0,苗栗縣後龍鎮海寶里下灣寶庄118之6號,,,B,社區式交通接送服務(BD03),10005,10005010;10005020;10005030;10005040;10005050;10005060;10005070;10005080;10005090;10005100;10005110;10005120;10005130;10005140;10005150;10005160;10005170;10005180,037-431504,yc@car5888.com.tw,陳獻仲,20230101.0,20261231.0,20241213 14:55:47
社團法人宜蘭縣蘇澳鎮港邊社區發展協會,BE1700008,BE,10002,10002030.0,宜蘭縣蘇澳鎮港邊里蘇濱路一段196號,,,C,巷弄長照站,10002,10002030,0935-618793,peo123@mail.e-land.gov.tw,余正福,20190101.0,20201231.0,20200616 15:25:21
新北市奇布施老人養生會-寶福站(社照C),BF0200138,BF,65000,65000060.0,新北市新店區寶福里寶橋路234號,,,C,巷弄長照站,65000,65000060,02-291609230918-608832,sanlylin@hotmail.com,黃壽美,20220101.0,20221231.0,20220503 10:30:48
高雄市梓官區衛生所,B21500222,B2,64000,64000290.0,高雄市梓官區公館路45號,,,B,居家失能個案家庭醫師照護服務,64000,64000290,6177331,tasi2457@kcg.gov.tw,蔡進成,20200729.0,20201231.0,20200730 11:29:31
新北市淡水區鄧公社區發展協會(社照C),BF0200139,BF,65000,65000100.0,新北市淡水區鄧公里鄧公路32巷7號1樓,,,C,巷弄長照站,65000,65000100,02-262521000912-526336,meichin.chiu@msa.hinet.net,邱美津,20220101.0,20231231.0,20230628 15:35:40
高雄市立旗津醫院(委託財團法人私立高雄醫學大學經營)(南汕站醫事C),B21500209,B2,64000,64000100.0,高雄市旗津區南汕里中洲三路2號,,,C,巷弄長照站,64000,64000100,07-5711188#1403,shyuji@kmuedu.tw,蔡忠榮,20200501.0,20251231.0,20241127 15:36:17
臺南市北區文成里辦公處,BG1400078,BG,67000,67000340.0,臺南市北區文成里和緯路3段370號,,,C,巷弄長照站,67000,67000340,06-2583007,Kellyyen6348@gmail.com,顏吳珠華,20200401.0,20211231.0,20210128 09:42:27
碇康藥局(醫事C),B30200029,B3,65000,65000190.0,新北市石碇區中民里靜安路1段242號,,,C,巷弄長照站,65000,65000190,(02)2663-1325 分機23,AN7362@ntpc.gov.tw,鄭健雄,20200701.0,20201231.0,20210127 17:20:01
臺南市中西區五條港里辦公處,BG1400077,BG,67000,67000370.0,臺南市中西區五條港成功路343號,,,C,巷弄長照站,67000,67000370,06-2220602,a524160w@gmail.com,沈廉哲,20200401.0,20211231.0,20210128 09:33:57
忠聖診所,B21000080,B2,10008,10008010.0,南投縣南投市中山街195號,,,B,專業照護服務,10008,10008010;10008030;10008050;10008060;10008110,049-2241359,rty789uio@gmail.com,蔣咸嘉,20200709.0,20201231.0,20201203 08:46:12
基隆市城上城發展協會,BF0300046,BF,10017,10017060.0,基隆市安樂區鶯歌里麥金路247號6樓,,,C,巷弄長照站,10017,10017060,24311235,MEIGIN0820@GMAIL.COM,吳美錦,20200501.0,20211231.0,20210323 13:45:08
臺中市梧棲區草湳社區發展協會(頂寮里),BF0800207,BF,66000,66000140.0,臺中市梧棲區頂寮里梧南路50號,,,C,巷弄長照站,66000,66000140,0968-051126,cnlove1996@gmail.com,黃耀原,20200101.0,20211231.0,20230606 13:25:43
臺北市內湖區石潭社區發展協會,BF0100205,BF,63000,63000100.0,臺北市內湖區石潭里成功路二段1號2樓,,,C,巷弄長照站,63000,63000100,02-27937177,shuru571110@gmail.com,廖煒國,20210101.0,20211231.0,20210408 17:41:16
財團法人台北市聖佳蘭先開懷社會福利慈善基金會,BD0100075,BD,63000,63000110.0,臺北市士林區陽明里建業路73巷10 號,,,C,巷弄長照站,63000,63000110,02-28614057,sylg.533@gmail.com,黃翠芳,20210101.0,20211231.0,20210407 12:00:02
財團法人台北市私立永年社會福利慈善基金會,BD0100077,BD,63000,63000010.0,臺北市松山區復勢里光復北路80巷1號1樓,,,C,巷弄長照站,63000,63000010,02-2578-6677#2232,socialwork@pojengh.com.tw,王建哲,20210101.0,20211231.0,20210412 13:51:26
惟易物理治療所,B40800048,B4,66000,66000080.0,臺中市北屯區柳陽西街94巷30號,,,B,專業照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0921563600,dog830731j@gmail.com,謝偉鈺,20220105.0,20241231.0,20220217 09:50:09
惟易物理治療所,B40800048,B4,66000,66000080.0,臺中市北屯區柳陽西街94巷30號,,,B,專業照護服務(CC01),66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0921563600,dog830731j@gmail.com,謝偉鈺,20220105.0,20241231.0,20230802 17:19:14
惟易物理治療所,B40800048,B4,66000,66000080.0,臺中市北屯區柳陽西街94巷30號,,,B,專業照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0921563600,dog830731j@gmail.com,謝偉鈺,20250101.0,20271231.0,20241120 09:38:56
惟易物理治療所,B40800048,B4,66000,66000080.0,臺中市北屯區柳陽西街94巷30號,,,B,專業照護服務(CC01),66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0921563600,dog830731j@gmail.com,謝偉鈺,20250101.0,20271231.0,20241120 09:39:05
社團法人中華民國愛無界長期照顧產業發展協會,BA0200029,BA,65000,65000060.0,新北市新店區達觀路8巷3號16樓之1,,,B,交通接送服務,63000,63000010;63000020;63000030;63000040;63000050;63000060;63000070;63000080;63000090;63000100;63000110;63000120,02-25681379,wakahoowang@gmail.com,陳正川,20220501.0,20221231.0,20220429 10:40:05
新北市板橋區大浮洲發展協進會(浮洲站)(社照C),BF0200230,BF,65000,65000010.0,新北市板橋區大觀路一段28巷50號,,,C,巷弄長照站,65000,65000010,0932312636,Yusulan0968679928@gmail.com,林新添,20230101.0,20231231.0,20230630 15:06:52
財團法人新北市基督教新希望教會(中和外南站)(社照C),BD0200067,BD,65000,65000030.0,新北市中和區復興路69-1號,,,C,巷弄長照站,65000,65000030,02-22473040,Poa697243@gmail.com,林淑萍,20210901.0,20221231.0,20220509 08:31:19
財團法人台北市基督教台灣貴格會土城教會(社照C),BD0200068,BD,65000,65000130.0,新北市土城區金城路三段67號5樓,,,C,巷弄長照站,65000,65000130,0908593772,tadaw0722@gmail.com,林文華,20220301.0,20221231.0,20220509 08:54:27
財團法人新北市永和區中華基督教浸信會中和堂(社照C),BD0200065,BD,65000,65000040.0,新北市永和區前溪里永和路一段153號,,,C,巷弄長照站,65000,65000040,0910826212,chunghochurch@gmail.com,武應天,20220101.0,20221231.0,20220502 14:14:11
新北市八里區龍米社區發展協會(社照C),BG0200051,BG,65000,65000230.0,新北市八里區龍源里龍米路1段223-1號,,,C,巷弄長照站,65000,65000230,02-26182011,longmi249@gmail.com,陳雄,20220101.0,20221231.0,20220429 16:08:42
新北市中正愛心關懷協會(福安站)(社照C),BF0200232,BF,65000,65000010.0,新北市板橋區大觀路二段365巷15號,,,C,巷弄長照站,65000,65000010,0955707945,Yusulan0968679928@gmail.com,羅宜玲,20230101.0,20231231.0,20230630 15:05:41
社團法人臺北市社區照護發展促進協會(社照C),BE0200081,BE,65000,65000030.0,新北市中和區中正路1206巷2號,,,C,巷弄長照站,65000,65000030,02-77467520,care.nursing1027@gmail.com,曾駿清,20210901.0,20221231.0,20220506 17:09:24
新竹市那魯灣生活互助協會,BF0500020,BF,10018,10018030.0,新竹市香山區海山里新竹市那魯灣街19號,,,C,巷弄長照站,10018,10018030,0986643790,jirosan7663@gmail.com,李宜珊,20230101.0,20231231.0,20230310 16:43:28
新北市中正愛心關懷協會(自立站)(社照C),BF0200228,BF,65000,65000010.0,新北市板橋區自立里大智街77號,,,C,巷弄長照站,65000,65000010,0955707945,Yusulan0968679928@gmail.com,羅宜玲,20230101.0,20231231.0,20230630 15:04:59
新北市大社后愛心關懷協會(香社站)(長照C),BF0200229,BF,65000,65000010.0,新北市板橋區中正路275巷69號1樓,,,C,巷弄長照站,65000,65000010,0937502067,Yusulan0968679928@gmail.com,許金富,20230101.0,20231231.0,20230630 15:00:38
新北市淡水區文化里辦公處(社照C),BG0200053,BG,65000,65000100.0,新北市淡水區文化里14鄰新民街71號,,,C,巷弄長照站,65000,65000100,0932256728,meihsiang1228@yahoo.com.tw,彭梅香,20220101.0,20231231.0,20230628 15:19:52
南屯丁丁藥局,BB0800041,BB,66000,66000070.0,臺中市南屯區五權西路二段218號1樓,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-3601-5077,leo24@norbelbaby.com.tw,劉孝懷,20240701.0,20270630.0,20240805 11:12:25
嘉義縣民雄鄉金興社區發展協會,BF1300108,BF,10010,10010050.0,嘉義縣民雄鄉金興村頭橋1200號,,,C,巷弄長照站,10010,10010050,0952217955,a0952217955@gmail.com,廖清秀,20220101.0,20241231.0,20240329 13:38:22
社團法人中華麥田關懷協會(五峯站)(社照C),BF0200223,BF,65000,65000060.0,新北市新店區五峯里1鄰北新路一段92號2樓,,,C,巷弄長照站,65000,65000060,02-29133936,wheatland1743@gmail.com,呂瑞香,20220201.0,20221231.0,20220502 14:15:28
新北市土城區青雲里辦公處(社照C),BG0200055,BG,65000,65000130.0,新北市土城區青雲里清水路141巷18號B1,,,C,巷弄長照站,65000,65000130,02-2265-9858,stanleychen540820@gmail.com,廖特青,20220901.0,20221231.0,20220929 11:51:28
振興何藥局,BB0800309,BB,66000,66000020.0,臺中市東區台中路133號1樓,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-2222-3617,pharmacistnail@gmail.com,莫育維,20221014.0,20240630.0,20221019 10:11:10
大連何藥局,BB0800310,BB,66000,66000080.0,臺中市北屯區平陽里山西路二段274號1樓,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0424710655,rapunzel1118@gmail.com,吳筱文,20240701.0,20270630.0,20240802 11:06:43
安德沙鹿藥局,BB0800235,BB,66000,66000130.0,臺中市沙鹿區中山路417-5號,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-2463-2000分機86046,andeservice@andebio.com,陳羿君,20240701.0,20270630.0,20240801 17:46:06
大益藥局,BB0800193,BB,66000,66000280.0,臺中市大里區益民路二段335號1、2樓,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-2481-1551,gt06435@greattree.com.tw,陳柔安,20240701.0,20270630.0,20240621 17:45:18
烏日安德藥局,BB0800233,BB,66000,66000230.0,臺中市烏日區榮和路151號,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-2463-2000分機86046,andeservice@andebio.com,鄭富隆,20240701.0,20270630.0,20240801 18:14:32
美德耐股份有限公司林新門市部,BB0800278,BB,66000,66000070.0,臺中市南屯區惠中路三段36號1樓,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-22512984,LTC@wellcare.com.tw,陳美欣,20240701.0,20270630.0,20240926 10:21:46
重維復健用品有限公司台中分公司,BB0800266,BB,66000,66000060.0,臺中市西屯區安和路120之9號,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-23580448,sevrice04@pro-med.tw,周重興,20240701.0,20270630.0,20240718 16:55:12
好燁居家護理所,B10800130,B1,66000,66000110.0,臺中市大甲區中山里甲后路五段501巷71弄15號1樓,,,B,專業照護服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,0916888136,hsini0502@gmail.com,蔡欣貤,20221014.0,20241231.0,20221019 15:02:58
俊凱醫療器材有限公司育德分公司,BB0800217,BB,66000,66000050.0,臺中市北區育德路17號1樓,,,B,輔具及居家無障礙環境服務,66000,66000010;66000020;66000030;66000040;66000050;66000060;66000070;66000080;66000090;66000100;66000110;66000120;66000130;66000140;66000150;66000160;66000170;66000180;66000190;66000200;66000210;66000220;66000230;66000240;66000250;66000260;66000270;66000280;66000290,04-22071872,kanghao99@gmail.com,鍾金松,20240701.0,20270630.0,20240715 11:59:11
新北市板橋區大浮洲發展協進會(大觀站)(社照C),BF0200231,BF,65000,65000010.0,新北市板橋區僑中二街12巷24號,,,C,巷弄長照站,65000,65000010,0932312636,Yusulan0968679928@gmail.com,林新添,20230101.0,20231231.0,20230630 15:00:06
新北市銀光志工協會(港嘴站)(社照C),BF0200233,BF,65000,65000010.0,新北市板橋區縣民大道三段169號縣民大道三段245巷1號,,,C,巷弄長照站,65000,65000010,02-29589299,yisyuanhu@gmail.com,丁紹斌,20230101.0,20231231.0,20230630 15:06:14
新北市銀光志工協會(板橋福壽站)(社照C),BF0200234,BF,65000,65000010.0,新北市板橋區三民路二段居仁巷2弄50號,,,C,巷弄長照站,65000,65000010,02-29589299,yisyuanhu@gmail.com,丁紹斌,20230101.0,20231231.0,20230630 15:03:23
新北市大新板愛心關懷協會(文聖站)(社照C),BF0200236,BF,65000,65000010.0,新北市板橋區文聖街149巷27號1樓,,,C,巷弄長照站,65000,65000010,02-29589299,yisyuanhu@gmail.com,余崑松,20230101.0,20231231.0,20230630 15:04:30
一翔交通股份有限公司,BA0100031,BA,63000,63000050.0,臺北市中正區博愛路222號5樓,,,B,交通接送服務,63000,63000010;63000020;63000030;63000040;63000050;63000060;63000070;63000080;63000090;63000100;63000110;63000120,23120985,share.car24@gmail.com,李樂伯,20220501.0,20221231.0,20220429 10:27:17
新北市淡水區民生社區發展協會(社照C),BF0200222,BF,65000,65000100.0,新北市淡水區民生里民生路27號B1,,,C,巷弄長照站,65000,65000100,0932179570,ikkigood@yahoo.com,陳李明緣,20220101.0,20231231.0,20230628 15:19:02
中華民國治療師暨輔助科技推動協會(社照C),BF0200238,BF,65000,65000120.0,新北市瑞芳區瑞芳街38號,,,C,巷弄長照站,65000,65000120,0224970020,therapistat@gmail.com,柯維喬,20240101.0,20241231.0,20240514 14:40:51
中華躍樂齡創新服務發展協會(社照C),BF0200239,BF,65000,65000020.0,新北市三重區集美街75巷27號1樓,,,C,巷弄長照站,65000,65000020,0287733752,yjhomecare6809@gmail.com,施福忠,20220401.0,20231231.0,20230530 19:08:39
社團法人台灣喜樂家族協會(社照C),BE0200083,BE,65000,65000030.0,新北市中和區圓通路167巷3號,,,C,巷弄長照站,65000,65000030,0920074192,yc82421971@gmail.com,林黃寶彩,20220401.0,20221231.0,20220509 09:05:10
財團法人新北市基督教新希望教會(土城土城站)(社照C),BD0200066,BD,65000,65000130.0,新北市土城區慶安街45巷5號1樓,,,C,巷弄長照站,65000,65000130,0939192756,o1219.shaw@gmail.com,黃遠鵬,20210901.0,20221231.0,20220509 08:26:10
臺中榮民總醫院嘉義分院-南和,B21300104,B2,10010,10010120.0,嘉義縣水上鄉嘉義縣水上鄉南和村8鄰11號,,,C,巷弄長照站,10010,10010120,05-2359630,cyw32@fghtc.gov.tw,李世強,20220601.0,20251231.0,20221230 12:52:59
